dataset,image_id,identity,path,score,score_scale,gender,ethnicity,view,rated
scut,CF437.jpg,scut_CF437.jpg,data/scut/SCUT-FBP5500_v2/Images/CF437.jpg,2.883333,1-5,female,caucasian,frontal,1
scut,AM1384.jpg,scut_AM1384.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1384.jpg,2.466667,1-5,male,asian,frontal,1
scut,AM1234.jpg,scut_AM1234.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1234.jpg,2.15,1-5,male,asian,frontal,1
scut,AM1774.jpg,scut_AM1774.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1774.jpg,3.75,1-5,male,asian,frontal,1
scut,CF215.jpg,scut_CF215.jpg,data/scut/SCUT-FBP5500_v2/Images/CF215.jpg,3.033333,1-5,female,caucasian,frontal,1
scut,AF1899.jpg,scut_AF1899.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1899.jpg,2.916667,1-5,female,asian,frontal,1
scut,AM704.jpg,scut_AM704.jpg,data/scut/SCUT-FBP5500_v2/Images/AM704.jpg,2.483333,1-5,male,asian,frontal,1
scut,AM1172.jpg,scut_AM1172.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1172.jpg,2.266667,1-5,male,asian,frontal,1
scut,CM434.jpg,scut_CM434.jpg,data/scut/SCUT-FBP5500_v2/Images/CM434.jpg,3.033333,1-5,male,caucasian,frontal,1
scut,CF228.jpg,scut_CF228.jpg,data/scut/SCUT-FBP5500_v2/Images/CF228.jpg,2.75,1-5,female,caucasian,frontal,1
scut,AF1179.jpg,scut_AF1179.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1179.jpg,3.933333,1-5,female,asian,frontal,1
scut,AF64.jpg,scut_AF64.jpg,data/scut/SCUT-FBP5500_v2/Images/AF64.jpg,2.3,1-5,female,asian,frontal,1
scut,AM230.jpg,scut_AM230.jpg,data/scut/SCUT-FBP5500_v2/Images/AM230.jpg,2.25,1-5,male,asian,frontal,1
scut,AF734.jpg,scut_AF734.jpg,data/scut/SCUT-FBP5500_v2/Images/AF734.jpg,2.95,1-5,female,asian,frontal,1
scut,AF280.jpg,scut_AF280.jpg,data/scut/SCUT-FBP5500_v2/Images/AF280.jpg,2.583333,1-5,female,asian,frontal,1
scut,AF1705.jpg,scut_AF1705.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1705.jpg,3.133333,1-5,female,asian,frontal,1
