dataset,image_id,det_score,yaw,pitch,roll,ok,reason
scut,CF437.jpg,0.9011824131011963,-2.9162238,-10.982275,-4.5997095,1,
scut,AM1384.jpg,0.44235897064208984,-1.2816669,-4.833485,2.0699294,1,
scut,CF215.jpg,0.8153509497642517,8.339853,-8.49577,-11.207505,1,
scut,CM434.jpg,0.8709072470664978,3.1234868,-2.3056333,0.6983236,1,
scut,CF228.jpg,0.8840392827987671,-1.3692232,-7.9230943,8.676637,1,
scut,AF1179.jpg,0.8887247443199158,-0.44612747,-8.365787,-0.9736219,1,
scut,AM230.jpg,0.33776354789733887,0.37622154,-5.2345386,-0.2852445,1,
scut,AF1705.jpg,0.9042409658432007,-16.879879,-10.661999,-0.9932627,1,
scut,CF54.jpg,0.8980454206466675,0.69313157,-5.825519,-2.7190351,1,
scut,CM126.jpg,0.8774040937423706,1.4085438,-8.90865,0.7190643,1,
scut,AF1934.jpg,0.9042457938194275,2.0088625,-2.0119317,-0.14761227,1,
scut,AM1090.jpg,0.3506361246109009,0.5333433,-9.968252,-2.0295722,1,
scut,AF1142.jpg,0.8691577315330505,3.8908813,-8.525248,-0.5849421,1,
scut,AF1883.jpg,0.40204739570617676,1.6102061,-13.80485,2.3975296,1,
scut,AF1649.jpg,0.886867105960846,-11.540328,-0.9841782,-2.3919344,1,
scut,CF23.jpg,0.41673552989959717,-12.287588,-3.5045938,-0.007929193,1,
scut,CF318.jpg,0.8739575147628784,7.057792,-4.3987646,-3.2205505,1,
scut,AF1544.jpg,0.3244525194168091,3.0485873,-13.271828,2.9094183,1,
scut,CM261.jpg,0.8776588439941406,14.221055,-9.40925,1.8994212,1,
scut,CM704.jpg,0.4823107123374939,11.125406,-10.446719,7.741079,1,
scut,CF173.jpg,0.8550761342048645,-3.1168523,-1.6946881,0.6247459,1,
scut,CF254.jpg,0.8986409306526184,11.147725,-3.8093326,-10.413467,1,
scut,CM381.jpg,0.35067152976989746,14.307664,-6.6861205,-0.050460916,1,
scut,AM617.jpg,0.4650830626487732,-1.6256272,-9.8967705,1.4409589,1,
scut,AF1549.jpg,0.8973569869995117,-1.2033015,-11.401772,0.12045739,1,
scut,AM236.jpg,0.3437359929084778,1.794072,-2.5588725,0.5178771,1,
scut,CF339.jpg,0.8114914894104004,23.94703,-6.9673085,-0.20749266,1,
scut,AF1889.jpg,0.8663416504859924,12.502625,-16.4524,2.083274,1,
scut,CM173.jpg,0.8915032744407654,5.421004,-9.055806,0.03799281,1,
scut,CF357.jpg,0.8801146745681763,5.4112577,-2.7111,2.6739547,1,
scut,AM240.jpg,0.41006994247436523,-9.467836,-22.794298,2.5518515,1,
scut,AF811.jpg,0.44148004055023193,-6.242426,0.18309504,-3.9990659,1,
scut,CM198.jpg,0.8529794216156006,-6.0397387,-2.8112688,-3.4266028,1,
