family,dataset,ethnicity,n,pearson
facenet,scut,caucasian,1500,0.8489
facenet,scut,asian,4000,0.8704
facenet,mebeauty,caucasian,972,0.7253
facenet,mebeauty,hispanic,293,0.697
facenet,mebeauty,indian,294,0.7536
facenet,mebeauty,asian,344,0.7479
facenet,mebeauty,black,294,0.6528
facenet,london,white,69,0.5576
arcface,scut,caucasian,1500,0.7049
arcface,scut,asian,4000,0.8615
arcface,mebeauty,caucasian,972,0.4686
arcface,mebeauty,hispanic,293,0.4029
arcface,mebeauty,indian,294,0.476
arcface,mebeauty,asian,344,0.5575
arcface,mebeauty,black,294,0.394
arcface,london,white,69,0.2662
cosface,scut,caucasian,1500,0.811
cosface,scut,asian,4000,0.8892
cosface,mebeauty,caucasian,972,0.6198
cosface,mebeauty,hispanic,293,0.6137
cosface,mebeauty,indian,294,0.59
cosface,mebeauty,asian,344,0.6478
cosface,mebeauty,black,294,0.5545
cosface,london,white,69,0.5089
adaface,scut,caucasian,1500,0.7648
adaface,scut,asian,4000,0.8789
adaface,mebeauty,caucasian,972,0.4754
adaface,mebeauty,hispanic,293,0.4634
adaface,mebeauty,indian,294,0.4899
adaface,mebeauty,asian,344,0.6025
adaface,mebeauty,black,294,0.375
adaface,london,white,69,0.2598
fairface,scut,caucasian,1500,0.8456
fairface,scut,asian,4000,0.8362
fairface,mebeauty,caucasian,972,0.6599
fairface,mebeauty,hispanic,293,0.6802
fairface,mebeauty,indian,294,0.6861
fairface,mebeauty,asian,344,0.7252
fairface,mebeauty,black,294,0.5283
fairface,london,white,69,0.5337
geometric,scut,caucasian,1500,0.7535
geometric,scut,asian,4000,0.7713
geometric,mebeauty,caucasian,972,0.5418
geometric,mebeauty,hispanic,293,0.5516
geometric,mebeauty,indian,294,0.5281
geometric,mebeauty,asian,344,0.6074
geometric,mebeauty,black,294,0.4384
geometric,london,white,69,0.2593
clip,scut,caucasian,1500,0.9271
clip,scut,asian,4000,0.9401
clip,mebeauty,caucasian,972,0.8237
clip,mebeauty,hispanic,293,0.7942
clip,mebeauty,indian,294,0.815
clip,mebeauty,asian,344,0.8355
clip,mebeauty,black,294,0.7399
clip,london,white,69,0.7433
