family,dataset,gender,n,pearson
facenet,scut,female,2750,0.8694
facenet,scut,male,2750,0.8556
facenet,mebeauty,female,1172,0.7101
facenet,mebeauty,male,1025,0.6516
facenet,london,female,49,0.4481
facenet,london,male,53,0.3869
arcface,scut,female,2750,0.8198
arcface,scut,male,2750,0.826
arcface,mebeauty,female,1172,0.4974
arcface,mebeauty,male,1025,0.3488
arcface,london,female,49,0.0264
arcface,london,male,53,0.2201
cosface,scut,female,2750,0.8683
cosface,scut,male,2750,0.8677
cosface,mebeauty,female,1172,0.5942
cosface,mebeauty,male,1025,0.4833
cosface,london,female,49,0.0996
cosface,london,male,53,0.5184
adaface,scut,female,2750,0.8449
adaface,scut,male,2750,0.8544
adaface,mebeauty,female,1172,0.5067
adaface,mebeauty,male,1025,0.3789
adaface,london,female,49,-0.0049
adaface,london,male,53,0.3033
fairface,scut,female,2750,0.8367
fairface,scut,male,2750,0.8368
fairface,mebeauty,female,1172,0.6503
fairface,mebeauty,male,1025,0.5683
fairface,london,female,49,0.404
fairface,london,male,53,0.3062
geometric,scut,female,2750,0.7771
geometric,scut,male,2750,0.7538
geometric,mebeauty,female,1172,0.4984
geometric,mebeauty,male,1025,0.3854
geometric,london,female,49,0.0564
geometric,london,male,53,0.1671
clip,scut,female,2750,0.9344
clip,scut,male,2750,0.9379
clip,mebeauty,female,1172,0.804
clip,mebeauty,male,1025,0.7661
clip,london,female,49,0.6857
clip,london,male,53,0.7038
