probe,family,train,test,pearson,spearman
ridge,facenet,scut,mebeauty,0.5786,0.5687
ridge,facenet,scut,london,0.4491,0.4604
ridge,facenet,mebeauty,scut,0.6922,0.6939
ridge,facenet,mebeauty,london,0.5675,0.5766
ridge,facenet,london,scut,0.4955,0.4938
ridge,facenet,london,mebeauty,0.4039,0.4194
ridge,arcface,scut,mebeauty,0.1958,0.1903
ridge,arcface,scut,london,0.2934,0.3009
ridge,arcface,mebeauty,scut,0.3436,0.328
ridge,arcface,mebeauty,london,0.2413,0.2379
ridge,arcface,london,scut,0.1967,0.1945
ridge,arcface,london,mebeauty,0.0854,0.0878
ridge,cosface,scut,mebeauty,0.4838,0.4367
ridge,cosface,scut,london,0.529,0.5163
ridge,cosface,mebeauty,scut,0.5572,0.5554
ridge,cosface,mebeauty,london,0.6121,0.6046
ridge,cosface,london,scut,0.2334,0.219
ridge,cosface,london,mebeauty,0.2495,0.259
ridge,adaface,scut,mebeauty,0.2811,0.2605
ridge,adaface,scut,london,0.3908,0.3882
ridge,adaface,mebeauty,scut,0.353,0.3422
ridge,adaface,mebeauty,london,0.2334,0.2149
ridge,adaface,london,scut,0.2278,0.2214
ridge,adaface,london,mebeauty,0.1164,0.1263
ridge,fairface,scut,mebeauty,0.5207,0.4749
ridge,fairface,scut,london,0.3927,0.3547
ridge,fairface,mebeauty,scut,0.5862,0.5785
ridge,fairface,mebeauty,london,0.5573,0.5639
ridge,fairface,london,scut,0.5084,0.5036
ridge,fairface,london,mebeauty,0.5365,0.5402
ridge,geometric,scut,mebeauty,0.3181,0.329
ridge,geometric,scut,london,0.4133,0.4053
ridge,geometric,mebeauty,scut,0.541,0.5526
ridge,geometric,mebeauty,london,0.4196,0.4588
ridge,geometric,london,scut,0.3323,0.4266
ridge,geometric,london,mebeauty,0.225,0.2779
ridge,clip,scut,mebeauty,0.6469,0.6175
ridge,clip,scut,london,0.6439,0.6601
ridge,clip,mebeauty,scut,0.8218,0.8132
ridge,clip,mebeauty,london,0.7975,0.799
ridge,clip,london,scut,0.7247,0.7097
ridge,clip,london,mebeauty,0.5839,0.6027
mlp,facenet,scut,mebeauty,0.4823,0.4634
mlp,facenet,scut,london,0.3711,0.3654
mlp,facenet,mebeauty,scut,0.5473,0.5562
mlp,facenet,mebeauty,london,0.4827,0.4463
mlp,facenet,london,scut,0.458,0.4584
mlp,facenet,london,mebeauty,0.3394,0.3489
mlp,arcface,scut,mebeauty,0.2026,0.1915
mlp,arcface,scut,london,0.1439,0.1463
mlp,arcface,mebeauty,scut,0.2882,0.2786
mlp,arcface,mebeauty,london,0.1561,0.1525
mlp,arcface,london,scut,0.1621,0.1575
mlp,arcface,london,mebeauty,0.0377,0.0365
mlp,cosface,scut,mebeauty,0.3742,0.3495
mlp,cosface,scut,london,0.3007,0.3025
mlp,cosface,mebeauty,scut,0.4316,0.4209
mlp,cosface,mebeauty,london,0.3,0.3154
mlp,cosface,london,scut,0.0765,0.057
mlp,cosface,london,mebeauty,0.1199,0.1198
mlp,adaface,scut,mebeauty,0.2142,0.1908
mlp,adaface,scut,london,0.2523,0.2417
mlp,adaface,mebeauty,scut,0.3121,0.295
mlp,adaface,mebeauty,london,0.279,0.1986
mlp,adaface,london,scut,0.2216,0.2176
mlp,adaface,london,mebeauty,0.0927,0.1012
mlp,fairface,scut,mebeauty,0.4481,0.4403
mlp,fairface,scut,london,0.2174,0.2456
mlp,fairface,mebeauty,scut,0.4384,0.4266
mlp,fairface,mebeauty,london,0.6035,0.5839
mlp,fairface,london,scut,0.3814,0.3574
mlp,fairface,london,mebeauty,0.4661,0.4687
mlp,geometric,scut,mebeauty,0.2344,0.2595
mlp,geometric,scut,london,0.4049,0.4079
mlp,geometric,mebeauty,scut,0.5363,0.5314
mlp,geometric,mebeauty,london,0.4191,0.4101
mlp,geometric,london,scut,0.136,0.447
mlp,geometric,london,mebeauty,0.1165,0.1972
mlp,clip,scut,mebeauty,0.4766,0.4541
mlp,clip,scut,london,0.506,0.5112
mlp,clip,mebeauty,scut,0.7273,0.7247
mlp,clip,mebeauty,london,0.7723,0.7529
mlp,clip,london,scut,0.562,0.5369
mlp,clip,london,mebeauty,0.2165,0.2369
