probe,family,dataset,n,pearson,spearman,rmse
ridge,facenet,scut,5500,0.8672,0.8602,0.343
ridge,facenet,mebeauty,2197,0.7444,0.7344,0.8479
ridge,facenet,london,102,0.5077,0.4869,0.6641
ridge,arcface,scut,5500,0.8277,0.822,0.387
ridge,arcface,mebeauty,2197,0.4992,0.4955,1.1
ridge,arcface,london,102,0.2488,0.298,0.7457
ridge,cosface,scut,5500,0.8718,0.8684,0.3374
ridge,cosface,mebeauty,2197,0.625,0.6195,0.991
ridge,cosface,london,102,0.5343,0.5617,0.6516
ridge,adaface,scut,5500,0.8538,0.8471,0.3589
ridge,adaface,mebeauty,2197,0.5241,0.5261,1.0813
ridge,adaface,london,102,0.2702,0.349,0.7399
ridge,fairface,scut,5500,0.8405,0.8241,0.3729
ridge,fairface,mebeauty,2197,0.6901,0.6704,0.9187
ridge,fairface,london,102,0.4933,0.4991,0.6764
ridge,geometric,scut,5500,0.7739,0.7747,0.4358
ridge,geometric,mebeauty,2197,0.5586,0.5678,1.0572
ridge,geometric,london,102,0.4051,0.4335,0.7078
ridge,clip,scut,5500,0.9375,0.9295,0.2395
ridge,clip,mebeauty,2197,0.8258,0.8145,0.7163
ridge,clip,london,102,0.8053,0.8246,0.4561
ridge,dinov2,scut,5500,0.8777,0.865,0.3298
ridge,dinov2,mebeauty,2197,0.7299,0.7116,0.8678
ridge,dinov2,london,102,0.6997,0.6846,0.5494
ridge,blendshapes,scut,5476,0.5535,0.5804,0.5724
ridge,blendshapes,mebeauty,2136,0.3564,0.3485,1.1853
ridge,blendshapes,london,102,0.0488,0.2131,0.8173
ridge,lbph,scut,5500,0.7773,0.7707,0.4346
ridge,lbph,mebeauty,2197,0.5637,0.573,1.0488
ridge,lbph,london,102,0.5679,0.5738,0.6646
ridge,fisherface,scut,5500,0.6345,0.6334,0.5319
ridge,fisherface,mebeauty,2197,0.414,0.4234,1.1557
ridge,fisherface,london,102,-0.0989,-0.1017,0.7854
