family,dataset,age_bucket,n,pearson
facenet,london,<=24,42,0.4427
facenet,london,>29,31,0.3663
facenet,london,25-29,27,0.433
arcface,london,<=24,42,0.1788
arcface,london,>29,31,0.3488
arcface,london,25-29,27,0.0956
cosface,london,<=24,42,0.3865
cosface,london,>29,31,0.5262
cosface,london,25-29,27,0.5476
adaface,london,<=24,42,0.2481
adaface,london,>29,31,0.4687
adaface,london,25-29,27,0.0836
fairface,london,<=24,42,0.4886
fairface,london,>29,31,0.3066
fairface,london,25-29,27,0.423
geometric,london,<=24,42,0.4498
geometric,london,>29,31,0.5178
geometric,london,25-29,27,0.1763
clip,london,<=24,42,0.7125
clip,london,>29,31,0.7726
clip,london,25-29,27,0.8084
dinov2,london,<=24,42,0.6931
dinov2,london,>29,31,0.6478
dinov2,london,25-29,27,0.6772
blendshapes,london,<=24,42,0.1207
blendshapes,london,>29,31,-0.1265
blendshapes,london,25-29,27,-0.028
lbph,london,<=24,42,0.5559
lbph,london,>29,31,0.4688
lbph,london,25-29,27,0.5284
fisherface,london,<=24,42,-0.0865
fisherface,london,>29,31,0.1405
fisherface,london,25-29,27,-0.2152
