probe,family,train,test,pearson,spearman
ridge,facenet,scut,mebeauty,0.5786,0.5687
ridge,facenet,scut,london,0.4491,0.4604
ridge,facenet,mebeauty,scut,0.6922,0.6939
ridge,facenet,mebeauty,london,0.5675,0.5766
ridge,facenet,london,scut,0.4955,0.4938
ridge,facenet,london,mebeauty,0.4039,0.4194
ridge,arcface,scut,mebeauty,0.1958,0.1903
ridge,arcface,scut,london,0.2934,0.3009
ridge,arcface,mebeauty,scut,0.3436,0.328
ridge,arcface,mebeauty,london,0.2413,0.2379
ridge,arcface,london,scut,0.1967,0.1945
ridge,arcface,london,mebeauty,0.0854,0.0878
ridge,cosface,scut,mebeauty,0.4838,0.4367
ridge,cosface,scut,london,0.529,0.5163
ridge,cosface,mebeauty,scut,0.5572,0.5554
ridge,cosface,mebeauty,london,0.6121,0.6046
ridge,cosface,london,scut,0.2334,0.219
ridge,cosface,london,mebeauty,0.2495,0.259
ridge,adaface,scut,mebeauty,0.2811,0.2605
ridge,adaface,scut,london,0.3908,0.3882
ridge,adaface,mebeauty,scut,0.353,0.3422
ridge,adaface,mebeauty,london,0.2334,0.2149
ridge,adaface,london,scut,0.2278,0.2214
ridge,adaface,london,mebeauty,0.1164,0.1263
ridge,fairface,scut,mebeauty,0.5207,0.4749
ridge,fairface,scut,london,0.3927,0.3547
ridge,fairface,mebeauty,scut,0.5862,0.5785
ridge,fairface,mebeauty,london,0.5573,0.5639
ridge,fairface,london,scut,0.5084,0.5036
ridge,fairface,london,mebeauty,0.5365,0.5402
ridge,geometric,scut,mebeauty,0.3181,0.329
ridge,geometric,scut,london,0.4133,0.4053
ridge,geometric,mebeauty,scut,0.541,0.5526
ridge,geometric,mebeauty,london,0.4196,0.4588
ridge,geometric,london,scut,0.3323,0.4266
ridge,geometric,london,mebeauty,0.225,0.2779
ridge,clip,scut,mebeauty,0.6469,0.6175
ridge,clip,scut,london,0.6439,0.6601
ridge,clip,mebeauty,scut,0.8218,0.8132
ridge,clip,mebeauty,london,0.7975,0.799
ridge,clip,london,scut,0.7247,0.7097
ridge,clip,london,mebeauty,0.5839,0.6027
ridge,dinov2,scut,mebeauty,0.4892,0.4497
ridge,dinov2,scut,london,0.4382,0.4518
ridge,dinov2,mebeauty,scut,0.6944,0.6849
ridge,dinov2,mebeauty,london,0.581,0.6548
ridge,dinov2,london,scut,0.6504,0.6298
ridge,dinov2,london,mebeauty,0.5325,0.5195
ridge,blendshapes,scut,mebeauty,0.1262,0.1705
ridge,blendshapes,scut,london,0.1154,0.1672
ridge,blendshapes,mebeauty,scut,0.2281,0.2284
ridge,blendshapes,mebeauty,london,0.3064,0.3211
ridge,blendshapes,london,scut,0.0987,0.131
ridge,blendshapes,london,mebeauty,0.0121,0.1311
ridge,lbph,scut,mebeauty,0.3676,0.3808
ridge,lbph,scut,london,0.2746,0.2966
ridge,lbph,mebeauty,scut,0.3943,0.3892
ridge,lbph,mebeauty,london,0.5029,0.5192
ridge,lbph,london,scut,0.2828,0.2729
ridge,lbph,london,mebeauty,0.3519,0.3379
ridge,fisherface,scut,mebeauty,0.2057,0.2065
ridge,fisherface,scut,london,0.4462,0.486
ridge,fisherface,mebeauty,scut,0.2527,0.237
ridge,fisherface,mebeauty,london,0.1473,0.1394
ridge,fisherface,london,scut,0.3008,0.2867
ridge,fisherface,london,mebeauty,0.1352,0.1351
